City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nikolayevsk-on-amure,53.1406,140.73,52.54,75,68,4.14,RU,1694101230
1,whitehorse,60.7161,-135.0538,48.97,66,75,19.57,CA,1694101465
2,touros,-5.1989,-35.4608,83.68,62,75,17.87,BR,1694101533
3,grytviken,-54.2811,-36.5092,28.36,76,14,13.96,GS,1694101374
4,bahir dar,11.5936,37.3908,64.54,84,55,2.04,ET,1694101666
5,margaret river,-33.95,115.0667,47.43,68,100,6.51,AU,1694101390
6,cruz alta,-28.6386,-53.6064,61.61,93,100,11.81,BR,1694101666
7,ilulissat,69.2167,-51.1,41.02,87,75,3.44,GL,1694101433
8,coari,-4.085,-63.1414,101.3,24,60,1.59,BR,1694101493
9,edinburgh of the seven seas,-37.0676,-12.3116,52.75,74,70,27.83,SH,1694101381
10,nar'yan-mar,67.6713,53.087,46.33,90,100,11.79,RU,1694101403
11,fort st. john,56.2499,-120.8529,49.89,66,20,14.97,CA,1694101156
12,hawaiian paradise park,19.5933,-154.9731,74.03,88,75,5.75,US,1694101408
13,stanley,54.868,-1.6985,73.27,75,0,4.61,GB,1694101417
14,pivka,45.6829,14.1959,77.86,58,0,9.22,SI,1694101668
15,waitangi,-43.9535,-176.5597,50.83,93,14,7.0,NZ,1694101376
16,fale old settlement,-9.3852,-171.2468,81.32,80,99,12.17,TK,1694101416
17,forster,-32.1667,152.5167,63.28,88,48,9.95,AU,1694101669
18,jalqani,12.4486,34.2186,83.05,67,100,7.27,SD,1694101669
19,castillos,-34.1667,-53.8333,57.04,97,100,25.14,UY,1694101434
20,puerto natales,-51.7236,-72.4875,36.66,97,100,0.67,CL,1694101367
21,remire-montjoly,4.9167,-52.2667,89.64,62,100,9.22,GF,1694101670
22,port-aux-francais,-49.35,70.2167,37.36,98,100,40.94,TF,1694101371
23,bethel,41.3712,-73.414,91.98,66,0,6.91,US,1694101146
24,mangalia,43.8,28.5833,74.91,54,0,12.37,RO,1694101671
25,adamstown,-25.066,-130.1015,66.07,73,100,15.05,PN,1694101372
26,jamestown,42.097,-79.2353,76.55,93,100,9.22,US,1694101124
27,nova sintra,14.8667,-24.7167,75.88,80,100,23.44,CV,1694101453
28,angaur state,6.906,134.13,82.44,79,97,10.74,PW,1694101672
29,swan hill,-35.3378,143.5544,44.49,61,0,22.37,AU,1694101672
30,pisco,-13.7,-76.2167,68.05,68,75,9.22,PE,1694101383
31,afaahiti,-17.75,-149.2833,73.27,82,26,18.48,PF,1694101389
32,tsetserleg,47.475,101.4542,47.7,54,54,4.5,MN,1694101673
33,egilsstadir,65.2653,-14.3948,53.51,87,75,12.66,IS,1694101521
34,tiksi,71.6872,128.8694,37.26,94,100,19.08,RU,1694101423
35,washington,47.5001,-120.5015,57.92,63,100,3.49,US,1694101186
36,nagqu,31.5,92.0,41.67,89,100,7.63,CN,1694101433
37,punta arenas,-53.15,-70.9167,41.11,93,100,11.5,CL,1694101415
38,kavaratti,10.5669,72.642,82.51,76,100,17.94,IN,1694101426
39,ushuaia,-54.8,-68.3,40.66,70,75,4.61,AR,1694101282
40,bilibino,68.0546,166.4372,31.96,72,90,4.45,RU,1694101371
41,arraial do cabo,-22.9661,-42.0278,73.36,78,75,9.22,BR,1694101430
42,varde,55.6211,8.4807,78.96,57,57,10.36,DK,1694101675
43,thunder bay,48.4001,-89.3168,48.11,81,100,6.91,CA,1694101484
44,iskateley,67.6803,53.1512,46.22,90,100,11.77,RU,1694101375
45,qorveh,35.1664,47.8045,76.32,8,0,7.76,IR,1694101676
46,greenville,35.6127,-77.3663,91.44,69,0,0.0,US,1694101491
47,lemvig,56.5486,8.3102,78.21,70,97,7.96,DK,1694101676
48,port blair,11.6667,92.75,82.44,83,75,2.3,IN,1694101677
49,hermanus,-34.4187,19.2345,61.81,79,9,15.79,ZA,1694101396
50,ribeira grande,38.5167,-28.7,73.8,60,40,12.66,PT,1694101381
51,kismayo,-0.3582,42.5454,78.53,75,49,15.5,SO,1694101677
52,anadyr,64.75,177.4833,27.1,86,0,4.47,RU,1694101384
53,west island,-12.1568,96.8225,76.98,73,40,10.36,CC,1694101386
54,dickinson,29.4608,-95.0513,95.02,69,20,6.91,US,1694101678
55,iqaluit,63.7506,-68.5145,38.93,69,100,21.85,CA,1694101373
56,puerto ayora,-0.7393,-90.3518,80.56,94,86,9.26,EC,1694101397
57,chonchi,-42.6128,-73.8092,54.12,74,54,4.97,CL,1694101438
58,al mindak,20.1588,41.2834,87.4,24,92,1.45,SA,1694101679
59,petropavlovsk-kamchatsky,53.0452,158.6483,52.39,100,100,8.95,RU,1694101417
60,port elizabeth,-33.918,25.5701,64.09,72,0,20.71,ZA,1694101437
61,namanyere,-7.5167,31.05,72.93,52,81,4.21,TZ,1694101680
62,st. john's,47.5649,-52.7093,76.55,86,75,8.05,CA,1694101252
63,taoudenni,22.6783,-3.9836,115.48,9,13,11.65,ML,1694101411
64,kwang binh,17.4833,106.6,80.6,85,98,4.07,VN,1694101680
65,santana,-0.0583,-51.1817,91.58,58,40,13.8,BR,1694101672
66,codrington,-38.2667,141.9667,45.05,75,66,21.09,AU,1694101681
67,isafjordur,66.0755,-23.124,50.04,87,100,5.75,IS,1694101410
68,tura,25.5198,90.2201,75.61,95,100,4.76,IN,1694101447
69,popondetta,-8.7537,148.2534,72.12,94,30,3.29,PG,1694101681
70,carnarvon,-24.8667,113.6333,68.11,51,0,11.86,AU,1694101489
71,nasarawa,8.5294,7.7242,86.05,75,64,1.9,NG,1694101682
72,fort bragg,35.139,-79.006,91.81,57,0,4.61,US,1694101402
73,ruiz,21.95,-105.15,79.2,90,100,1.3,MX,1694101683
74,klyuchi,52.2667,79.1667,51.85,83,93,4.76,RU,1694101380
75,karratha,-20.7377,116.8463,71.08,75,25,4.07,AU,1694101683
76,east london,-33.0153,27.9116,65.34,68,0,5.75,ZA,1694101509
77,ji'an,27.1172,114.9793,74.73,90,70,0.92,CN,1694101684
78,blackmans bay,-43.0167,147.3167,55.53,93,83,6.29,AU,1694101375
79,queenstown,-31.8976,26.8753,66.72,17,0,7.25,ZA,1694101501
80,papao,-17.75,-149.55,74.88,79,0,18.3,PF,1694101685
81,qaqortoq,60.7167,-46.0333,45.93,66,48,28.05,GL,1694101377
